iter	Passed	Remaining
0	209	209311
1	211	105573
2	213	71041
3	216	53964
4	219	43615
5	221	36683
6	224	31780
7	226	28085
8	228	25186
9	231	22879
10	233	20994
11	235	19404
12	237	18049
13	239	16887
14	241	15884
15	243	15005
16	246	14231
17	248	13541
18	250	12926
19	252	12381
20	255	11900
21	257	11448
22	259	11032
23	261	10638
24	263	10270
25	265	9928
26	266	9616
27	268	9326
28	270	9051
29	271	8794
30	273	8557
31	275	8333
32	277	8124
33	278	7925
34	280	7738
35	282	7565
36	284	7401
37	286	7254
38	288	7110
39	290	6968
40	292	6830
41	293	6705
42	295	6583
43	297	6466
44	299	6354
45	301	6249
46	303	6144
47	304	6043
48	306	5950
49	308	5864
50	310	5777
51	312	5694
52	314	5615
53	316	5536
54	317	5460
55	319	5386
56	321	5317
57	323	5247
58	325	5184
59	327	5126
60	329	5064
61	330	5005
62	332	4944
63	334	4885
64	335	4828
65	337	4773
66	338	4720
67	340	4660
68	341	4612
69	343	4566
70	345	4518
71	347	4473
72	348	4431
73	350	4390
74	353	4354
75	355	4318
76	356	4278
77	358	4240
78	360	4203
79	362	4167
80	364	4132
81	365	4096
82	367	4063
83	369	4032
84	371	3995
85	373	3966
86	374	3929
87	376	3901
88	378	3870
89	379	3839
90	382	3822
91	385	3801
92	387	3781
93	390	3762
94	392	3739
95	394	3716
96	396	3693
97	398	3666
98	400	3644
99	402	3621
100	404	3597
101	405	3567
102	406	3543
103	408	3521
104	410	3501
105	412	3480
106	414	3459
107	416	3440
108	418	3419
109	420	3399
110	421	3379
111	424	3369
112	426	3350
113	428	3333
114	431	3319
115	432	3299
116	435	3284
117	437	3267
118	438	3247
119	440	3229
120	442	3214
121	444	3197
122	445	3175
123	447	3160
124	449	3146
125	452	3136
126	454	3123
127	455	3104
128	457	3090
129	459	3074
130	461	3059
131	463	3045
132	465	3034
133	467	3020
134	469	3006
135	471	2994
136	473	2981
137	474	2966
138	476	2954
139	478	2941
140	480	2928
141	482	2917
142	485	2907
143	487	2895
144	488	2883
145	491	2873
146	493	2862
147	495	2851
148	497	2841
149	499	2829
150	501	2818
151	503	2808
152	505	2800
153	508	2793
154	510	2782
155	512	2772
156	514	2761
157	516	2751
158	518	2743
159	520	2732
160	522	2721
161	524	2711
162	526	2702
163	528	2693
164	530	2682
165	532	2673
166	534	2664
167	535	2654
168	537	2644
169	539	2634
170	541	2625
171	543	2615
172	545	2607
173	547	2598
174	549	2589
175	551	2580
176	553	2572
177	555	2564
178	557	2555
179	559	2546
180	559	2533
181	561	2523
182	562	2512
183	564	2503
184	566	2493
185	567	2484
186	569	2474
187	570	2464
188	572	2455
189	573	2446
190	575	2436
191	576	2426
192	578	2418
193	579	2409
194	581	2400
195	583	2391
196	584	2382
197	586	2373
198	588	2368
199	589	2359
200	591	2351
201	593	2343
202	594	2334
203	596	2325
204	597	2318
205	599	2309
206	600	2302
207	602	2293
208	603	2285
209	605	2276
210	606	2268
211	608	2260
212	609	2253
213	611	2245
214	612	2237
215	614	2230
216	616	2223
217	617	2215
218	619	2208
219	620	2200
220	622	2193
221	623	2185
222	625	2178
223	626	2171
224	628	2164
225	630	2157
226	631	2151
227	634	2146
228	635	2141
229	638	2136
230	640	2130
231	642	2125
232	644	2120
233	646	2115
234	648	2109
235	649	2103
236	651	2098
237	653	2093
238	655	2087
239	657	2083
240	659	2077
241	661	2072
242	664	2069
243	667	2067
244	672	2072
245	674	2068
246	677	2064
247	679	2060
248	684	2063
249	688	2066
250	692	2065
251	694	2061
252	696	2057
253	698	2052
254	702	2051
255	704	2046
256	706	2041
257	708	2036
258	709	2031
259	712	2027
260	715	2025
261	717	2020
262	719	2015
263	721	2011
264	723	2007
265	726	2003
266	728	1999
267	730	1994
268	732	1990
269	735	1987
270	737	1983
271	741	1985
272	744	1983
273	748	1982
274	751	1980
275	753	1976
276	756	1974
277	758	1969
278	760	1965
279	763	1962
280	765	1959
281	767	1955
282	770	1952
283	772	1948
284	774	1943
285	776	1939
286	778	1934
287	780	1929
288	782	1926
289	784	1921
290	787	1918
291	789	1914
292	791	1910
293	794	1907
294	797	1905
295	799	1901
296	801	1897
297	804	1894
298	806	1890
299	808	1886
300	811	1884
301	813	1880
302	816	1877
303	818	1874
304	821	1871
305	822	1866
306	824	1861
307	826	1857
308	828	1852
309	830	1848
310	832	1843
311	834	1839
312	835	1834
313	837	1830
314	839	1826
315	841	1821
316	843	1817
317	845	1813
318	847	1808
319	849	1804
320	851	1800
321	853	1796
322	855	1792
323	857	1788
324	859	1784
325	861	1780
326	864	1778
327	866	1774
328	867	1769
329	869	1764
330	870	1760
331	872	1755
332	873	1750
333	875	1745
334	877	1740
335	878	1736
336	880	1731
337	881	1727
338	883	1722
339	884	1717
340	886	1713
341	888	1708
342	889	1704
343	891	1699
344	892	1694
345	894	1690
346	895	1685
347	897	1680
348	898	1676
349	900	1671
350	901	1667
351	904	1666
352	907	1663
353	910	1661
354	912	1658
355	914	1654
356	916	1650
357	918	1646
358	919	1642
359	921	1637
360	922	1633
361	924	1629
362	925	1624
363	927	1620
364	928	1616
365	930	1612
366	932	1608
367	934	1604
368	935	1599
369	937	1595
370	938	1591
371	940	1587
372	941	1582
373	943	1578
374	944	1574
375	946	1570
376	948	1566
377	949	1563
378	951	1559
379	953	1556
380	955	1552
381	957	1548
382	958	1544
383	960	1541
384	962	1537
385	963	1533
386	965	1528
387	966	1524
388	968	1520
389	969	1516
390	971	1512
391	972	1508
392	974	1505
393	976	1501
394	977	1497
395	979	1493
396	980	1489
397	982	1485
398	983	1481
399	985	1478
400	987	1474
401	989	1471
402	990	1467
403	992	1463
404	993	1460
405	995	1456
406	996	1452
407	998	1448
408	1000	1445
409	1001	1441
410	1003	1437
411	1004	1433
412	1006	1430
413	1007	1426
414	1009	1422
415	1010	1419
416	1012	1415
417	1014	1411
418	1015	1408
419	1017	1405
420	1020	1402
421	1021	1399
422	1023	1396
423	1025	1393
424	1027	1390
425	1029	1387
426	1031	1384
427	1033	1381
428	1035	1378
429	1037	1374
430	1039	1372
431	1041	1369
432	1043	1366
433	1045	1363
434	1047	1360
435	1049	1357
436	1050	1353
437	1052	1351
438	1054	1348
439	1056	1344
440	1058	1341
441	1060	1339
442	1062	1336
443	1064	1333
444	1066	1330
445	1068	1327
446	1070	1324
447	1072	1321
448	1074	1318
449	1076	1315
450	1078	1312
451	1080	1309
452	1082	1307
453	1085	1305
454	1088	1304
455	1091	1302
456	1093	1299
457	1095	1296
458	1097	1293
459	1099	1290
460	1101	1287
461	1103	1285
462	1105	1282
463	1107	1279
464	1109	1276
465	1111	1273
466	1113	1270
467	1115	1267
468	1117	1264
469	1118	1261
470	1120	1258
471	1122	1255
472	1124	1253
473	1126	1249
474	1128	1247
475	1130	1244
476	1132	1241
477	1134	1238
478	1136	1236
479	1138	1233
480	1140	1230
481	1142	1227
482	1144	1224
483	1146	1222
484	1148	1219
485	1150	1216
486	1152	1213
487	1155	1211
488	1157	1209
489	1159	1206
490	1161	1204
491	1163	1201
492	1165	1198
493	1167	1195
494	1168	1192
495	1170	1189
496	1172	1186
497	1173	1183
498	1175	1179
499	1176	1176
500	1178	1173
501	1179	1170
502	1181	1167
503	1182	1164
504	1184	1160
505	1185	1157
506	1187	1154
507	1189	1152
508	1191	1148
509	1192	1145
510	1193	1142
511	1195	1139
512	1197	1136
513	1198	1133
514	1200	1130
515	1202	1127
516	1204	1124
517	1206	1122
518	1207	1119
519	1209	1116
520	1210	1113
521	1212	1109
522	1213	1106
523	1215	1103
524	1217	1101
525	1218	1098
526	1220	1095
527	1221	1092
528	1223	1089
529	1224	1086
530	1226	1083
531	1227	1080
532	1229	1077
533	1230	1074
534	1232	1071
535	1233	1068
536	1235	1065
537	1237	1062
538	1238	1059
539	1239	1056
540	1241	1053
541	1243	1050
542	1245	1048
543	1246	1045
544	1248	1042
545	1249	1039
546	1251	1036
547	1252	1033
548	1254	1030
549	1256	1027
550	1257	1025
551	1259	1022
552	1260	1019
553	1262	1016
554	1263	1013
555	1265	1010
556	1266	1007
557	1268	1004
558	1270	1002
559	1271	999
560	1273	996
561	1274	993
562	1276	990
563	1277	987
564	1279	984
565	1280	981
566	1282	979
567	1284	976
568	1285	973
569	1286	970
570	1288	968
571	1289	965
572	1291	962
573	1292	959
574	1294	956
575	1295	953
576	1297	951
577	1299	948
578	1300	945
579	1302	942
580	1303	940
581	1305	937
582	1306	934
583	1308	931
584	1309	929
585	1311	926
586	1313	924
587	1315	921
588	1317	919
589	1319	916
590	1321	914
591	1323	912
592	1325	909
593	1327	907
594	1329	904
595	1331	902
596	1333	900
597	1335	897
598	1337	895
599	1339	893
600	1341	890
601	1343	888
602	1345	886
603	1347	883
604	1350	881
605	1352	879
606	1354	876
607	1356	874
608	1358	872
609	1360	869
610	1362	867
611	1365	865
612	1367	863
613	1369	861
614	1371	858
615	1373	856
616	1377	854
617	1379	852
618	1381	850
619	1383	848
620	1385	845
621	1387	843
622	1389	840
623	1391	838
624	1393	836
625	1395	833
626	1397	831
627	1399	828
628	1400	826
629	1402	823
630	1404	821
631	1406	818
632	1408	816
633	1410	814
634	1412	811
635	1414	809
636	1416	807
637	1418	804
638	1420	802
639	1422	800
640	1424	797
641	1426	795
642	1428	793
643	1430	790
644	1432	788
645	1435	786
646	1438	784
647	1440	782
648	1443	780
649	1445	778
650	1447	776
651	1449	773
652	1451	771
653	1452	768
654	1454	766
655	1455	763
656	1457	760
657	1458	758
658	1460	755
659	1461	753
660	1463	750
661	1464	747
662	1466	745
663	1467	742
664	1469	740
665	1470	737
666	1472	735
667	1474	732
668	1475	730
669	1477	727
670	1479	725
671	1480	722
672	1482	720
673	1483	717
674	1485	715
675	1487	712
676	1490	710
677	1491	708
678	1493	706
679	1495	703
680	1497	701
681	1499	699
682	1501	696
683	1502	694
684	1504	691
685	1506	689
686	1507	687
687	1510	684
