iter	Passed	Remaining
0	2	2154
1	4	2360
2	6	2121
3	7	1979
4	9	1882
5	11	1828
6	12	1775
7	14	1746
8	15	1759
9	18	1874
10	20	1851
11	22	1824
12	23	1794
13	25	1771
14	26	1751
15	28	1730
16	29	1722
17	31	1709
18	33	1750
19	35	1742
20	37	1728
21	38	1715
22	40	1707
23	41	1696
24	43	1685
25	46	1752
26	48	1754
27	50	1757
28	52	1755
29	54	1747
30	56	1767
31	58	1774
32	60	1772
33	63	1791
34	64	1782
35	66	1770
36	67	1759
37	69	1751
38	70	1742
39	72	1738
40	73	1730
41	76	1753
42	78	1751
43	80	1743
44	81	1735
45	83	1727
46	84	1723
47	86	1716
48	88	1710
49	89	1709
50	92	1722
51	94	1719
52	95	1713
53	97	1705
54	99	1706
55	101	1705
56	103	1704
57	106	1730
58	108	1731
59	110	1728
60	112	1732
61	114	1729
62	115	1724
63	117	1724
64	121	1746
65	123	1741
66	124	1737
67	126	1733
68	128	1731
69	131	1747
70	133	1743
71	136	1756
72	137	1751
73	140	1757
74	142	1762
75	144	1762
76	146	1755
77	148	1749
78	150	1753
79	152	1749
80	154	1754
81	156	1749
82	157	1737
83	161	1764
84	165	1780
85	167	1779
86	169	1781
87	171	1779
88	173	1774
89	175	1779
90	177	1773
91	181	1794
92	183	1790
93	185	1786
94	187	1781
95	188	1776
96	190	1776
97	192	1771
98	195	1781
99	197	1775
100	198	1769
101	200	1763
102	201	1757
103	203	1752
104	204	1746
105	206	1740
106	210	1758
107	212	1753
108	213	1747
109	215	1741
110	216	1735
111	218	1731
112	219	1726
113	221	1720
114	225	1736
115	227	1732
116	228	1724
117	230	1719
118	231	1714
119	232	1708
120	234	1703
121	235	1696
122	237	1696
123	241	1702
124	243	1704
125	245	1701
126	246	1697
127	248	1692
128	250	1688
129	253	1696
130	256	1704
131	258	1701
132	260	1696
133	261	1691
134	263	1687
135	264	1682
136	267	1683
137	268	1679
138	270	1674
139	271	1669
140	273	1665
141	274	1657
142	275	1653
143	277	1648
144	279	1648
145	282	1650
146	283	1646
147	285	1642
148	286	1637
149	288	1633
150	289	1629
151	291	1627
152	293	1626
153	296	1627
154	297	1623
155	299	1619
156	300	1615
157	302	1611
158	303	1607
159	305	1604
160	306	1598
161	308	1594
162	310	1595
163	312	1592
164	314	1589
165	315	1586
166	317	1582
167	318	1578
168	320	1576
169	322	1572
170	324	1571
171	326	1569
172	327	1566
173	329	1564
174	331	1561
175	333	1561
176	334	1557
177	336	1554
178	339	1555
179	340	1553
180	342	1549
181	343	1545
182	345	1542
183	346	1538
184	348	1534
185	349	1531
186	351	1527
187	354	1529
188	356	1527
189	357	1524
190	359	1521
191	360	1517
192	363	1518
193	364	1515
194	366	1512
195	369	1513
196	370	1510
197	372	1507
198	373	1504
199	375	1502
200	377	1501
201	381	1506
202	384	1510
203	386	1508
204	388	1507
205	390	1505
206	392	1503
207	394	1501
208	396	1499
209	398	1500
210	400	1497
211	401	1494
212	403	1490
213	405	1487
214	406	1484
215	408	1481
216	409	1477
217	412	1477
218	413	1476
219	415	1473
220	417	1472
221	419	1469
222	420	1466
223	422	1463
224	424	1460
225	426	1460
226	428	1458
227	430	1457
228	432	1456
229	435	1457
230	436	1454
231	438	1451
232	440	1449
233	443	1451
234	445	1450
235	447	1447
236	448	1444
237	450	1440
238	451	1437
239	452	1434
240	455	1435
241	458	1434
242	459	1431
